Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,bore,stroke,compression-ratio
chevrolet chevelle malibu,18,8,307,130,3504,12,1970[1975],"US; Detroit, Michigan",3.47,2.68,9
buick skylark 320,15,8,350,165,3693,11.5,1970,US],3.47,2.68,?
plymouth satellite,18,?,318,150,3436,11,"1970, 1976",US,2.68,3.47,9
amc rebel sst,16,8,304,150,3433,12,1970,US,3.19,3.4,10
ford torino,17,8,302,140,3449,10.5,1970-1972,US],3.19,3.4,8
ford galaxie 500,15,8,?,198,4341,10,1970,US,3.19,3.4,8.5
chevrolet impala,14,8,454,220,4354,9,1970[1975],"US; Detroit, Michigan",3.19,3.4,8.5
plymouth fury iii,,8,440,215,4312,8.5,1970,US,3.19,3.4,8.5
pontiac catalina,14,8,455,225,4425,8.5,1970,US,3.13,3.4,8.3
amc ambassador dpl,15,8,390,190,3850,8.5,1970,US],3.13,3.4,7
dodge challenger se,15,8,383,170,3563,10,1970,US,3.5,2.8,8.8
plymouth 'cuda 340,14,-,340,160,3609,8,1970,US,3.5,2.8,8.8
chevrolet monte carlo,,8,400,150,3761,9.5,1970,"US; Detroit, Michigan",3.31,3.19,9
buick estate wagon (sw),14,8,455,225,3086,10,1970,US,3.31,3.19,9
toyota corona mark ii,24,4,113,95,2372,15,1970,Japan; Aichi,3.31,3.19,9
plymouth duster,22,6,198,95,2833,15.5,1970,US,3.62,3.39,8
amc hornet,18,6,199,97,2774,15.5,1970,US],3.62,3.39,8
ford maverick,21,6,200,85,2587,16,1970,US,3.62,3.39,8
datsun pl510,27,4,97,88,2130,14.5,1970,Japan; Aichi,2.91,3.03,9.5
volkswagen 1131 deluxe sedan,26,4,97,46,1835,15.5,1970,Europe-Germany,3.03,3.11,9.6
peugeot 504,,4,110,87,2672,17.5,1970,Europe,3.03,3.11,9.6
audi 100 ls,24,4,107,90,2430,14.5,1970,Europe,2.97,3.23,9.41
saab 99e,25,-,104,95,2375,17.5,1970,Europe,2.97,3.23,9.4
bmw 2002,26,4,121,113,2234,12.5,1970,Europe,3.03,3.39,7.6
amc gremlin,21,6,199,90,2648,15,1970,US,2.97,3.23,9.4
ford f250,10,8,360,215,4615,14,1970,US,2.97,3.23,9.4
chevy c20,10,8,307,200,4376,15,1970,"US; Detroit, Michigan",2.97,3.23,9.4
dodge d200,11,8,318,210,4382,15,1970,US,3.03,3.39,7.6
hi 1200d,9,8,304,193,4732,18.5,1970,US,3.34,3.46,8.5
datsun pl510,27,4,97,88,2130,14.5,1971,Japan; Tokyo,3.6,3.9,7
chevrolet vega 2300,,4,140,90,2264,15.5,1971[1973]971,"US; Detroit, Michigan",2.91,3.41,9.6
toyota corona,25,4,113,95,2228,14,1971,Japan; Aichi],2.91,3.41,9.2
amc gremlin,19,-,232,100,2634,13,1971,US,2.91,3.07,10.1
plymouth satellite custom,16,6,225,105,3439,13,1971,US,2.91,3.41,9.2
chevrolet chevelle malibu,17,6,250,100,3329,15.5,1971,US,2.91,3.41,9.2
ford torino 500,19,6,250,88,3302,15.5,1971[1973],US,2.91,3.41,9.2
amc matador,18,6,232,100,3288,15.5,1971,US,2.92,3.41,9.2
chevrolet impala,14,8,350,165,4209,12,1971,"US; Detroit, Michigan",3.15,3.58,9
pontiac catalina brougham,14,8,400,175,4464,11.5,1971,US,3.15,3.58,9
ford galaxie 500,14,8,351,153,4154,13.5,1971,US,3.15,3.58,9
plymouth fury iii,,8,318,150,4096,13,1971[1973],US,3.15,3.58,9
dodge monaco (sw),12,8,383,180,4955,11.5,1971,US,3.15,3.58,9
ford country squire (sw),13,-,400,170,4746,12,1971,US,3.15,3.58,9.1
pontiac safari (sw),13,8,400,175,5140,12,1971,US],3.31,3.23,8.5
amc hornet sportabout (sw),18,6,258,110,2962,13.5,1971[1973],US,3.03,3.11,9.6
chevrolet vega (sw),22,4,140,72,2408,19,1971,"US; Detroit, Michigan]",3.03,3.11,9.6
pontiac firebird,19,6,250,100,3282,15,1971,US,3.43,3.23,9.2
ford mustang,18,6,250,88,3139,14.5,1971,US,3.63,4.17,8.1
mercury capri 2000,23,4,122,86,2220,13,1971,US,3.63,4.17,8.1
opel 1900,28,4,116,90,2123,14,1971[1973],Europe,3.54,2.76,11.5
peugeot 304,,4,79,70,2074,19.5,1971,Europe,3.03,3.15,9
fiat 124b,30,-,88,76,2065,14.5,1971,Europe,3.03,3.15,9
toyota corolla 1200,31,4,71,65,1773,19,1971,Japan; Aichi,3.03,3.15,9
datsun 1200,35,4,72,69,1613,18,1971,Japan; Tokyo],3.03,3.15,9
volkswagen model 111,27,4,97,60,1834,19,1971,Europe,3.08,3.15,9
plymouth cricket,26,4,91,70,1955,20.5,1971,US,3.08,3.15,9.4
toyota corona hardtop,24,4,113,95,2278,15.5,1972[1973],Japan,3.08,3.15,9.4
dodge colt hardtop,25,4,97.5,80,2126,17,1972,US,3.08,3.15,9.4
volkswagen type 3,23,-,97,54,2254,23.5,1972,Europe,3.08,3.15,9.4
chevrolet vega,20,4,140,90,2408,19.5,1972,US,3.39,3.39,8.6
ford pinto runabout,21,4,122,86,2226,16.5,1972,US,3.39,3.39,8.6
chevrolet impala,13,8,350,165,4274,12,1972[1973],US,3.39,3.39,8.6
pontiac catalina,14,8,400,175,4385,12,1972,US,3.39,3.39,8.6
plymouth fury iii,15,8,318,150,4135,13.5,1972,US,3.39,3.39,22.7
ford galaxie 500,14,8,351,153,4129,13,1972,US,3.39,3.39,8.6
amc ambassador sst,17,8,304,150,3672,11.5,1972[1973],US,3.76,3.16,8
mercury marquis,11,8,429,208,4633,11,1972,US,3.43,3.64,22
buick lesabre custom,13,8,350,155,4502,?,1972,US,3.58,3.64,21.5
oldsmobile delta 88 royale,12,8,350,160,4456,13.5,1972[1973],US,3.58,3.64,21.5
chrysler newport royal,13,-,400,190,4422,12.5,1972,US,3.58,3.64,21.5
mazda rx2 coupe,,3,70,97,2330,13.5,1972,Japan,3.58,3.64,21.5
amc matador (sw),15,8,304,150,3892,12.5,1972,US,3.46,3.1,8.3
chevrolet chevelle concours (sw),13,8,307,130,4098,14,1972,US,3.46,3.1,8.3
ford gran torino (sw),13,8,302,140,4294,16,1972[1973],US,3.8,3.35,8
plymouth satellite custom (sw),14,8,318,150,4077,14,1972,US,3.8,3.35,8
volvo 145e (sw),18,4,121,112,2933,14.5,1972-73,Europe,3.78,3.12,8
volkswagen 411 (sw),22,4,121,76,2511,18,1972,Europe,2.97,3.23,9.4
peugeot 504 (sw),21,4,120,87,2979,19.5,1972,Europe,2.97,3.23,9.4
renault 12 (sw),26,4,96,69,2189,18,1972,Europe,2.97,3.23,9.4
ford pinto (sw),22,4,122,86,2395,16,1972-73,US,3.03,3.39,7.6
datsun 510 (sw),28,4,97,92,2288,17,1972,Japan,3.17,3.46,7.5
toyouta corona mark ii (sw),,4,120,97,2506,14.5,1972,Japan; Aichi,3.35,3.46,8.5
dodge colt (sw),28,-,98,80,2164,15,1972-73,US,3.58,3.86,7
toyota corolla 1600 (sw),27,4,97,88,2100,16.5,1972,Japan,3.59,3.86,7
buick century 350,13,8,350,175,4100,13,1973,US,3.59,3.86,7
amc matador,14,8,304,150,3672,11.5,1973,US,3.35,3.46,8.5
chevrolet malibu,13,8,350,145,3988,13,1973,US,3.35,3.46,8.5
ford gran torino,14,8,302,137,4042,14.5,1973,US,3.17,3.46,7.5
dodge coronet custom,15,8,318,150,?,12.5,1973,US,3.17,3.46,7.5
mercury marquis brougham,12,-,429,198,4952,11.5,1973,US,3.15,3.29,9.4
chevrolet caprice classic,13,8,400,150,4464,12,1973,US,2.99,3.47,21.9
ford ltd,,8,351,158,4363,13,1973,US,3.15,3.29,9.4
plymouth fury gran sedan,14,8,318,150,4237,14.5,1973,US,3.15,3.29,9.4
chrysler new yorker brougham,13,8,440,215,4735,11,1973,US,3.15,3.29,9.4
buick electra 225 custom,12,8,455,225,4951,11,1973,US,3.15,3.29,9.4
amc ambassador brougham,13,8,360,175,3821,11,1973,US,3.15,3.29,9.4
plymouth valiant,18,6,225,105,3121,16.5,1973-1974,US,3.15,3.29,9.4
chevrolet nova custom,16,6,250,100,3278,18,"1973, 1974",US,3.15,3.29,9.4
amc hornet,18,6,232,100,2945,16,1973,US,3.15,3.29,9.4
ford maverick,18,6,250,88,3021,16.5,1973,US,3.33,3.47,8.5
plymouth duster,23,?,198,95,2904,16,1973,US,3.33,3.47,8.5
volkswagen super beetle,26,4,97,46,1950,21,1973,Europe,3.43,3.27,9
chevrolet impala,11,8,400,150,4997,14,"1973, 19741973",US,3.43,3.27,9
ford country,12,8,400,167,4906,12.5,1973,US,3.43,3.27,9
plymouth custom suburb,13,8,360,170,4654,13,1973,US,3.43,3.27,9
oldsmobile vista cruiser,12,8,350,180,4499,12.5,"1973, 1974",US,3.43,3.27,7.8
amc gremlin,18,6,232,100,2789,15,1973,US,3.43,3.27,9
