MPG,Cylinders,Displacement,Year,Origin,compression-ratio
18.0,8,307,1970[1975],"US; Detroit, Michigan",9
15.0,8,350,1970,US],?
18.0,?,318,"1970, 1976",US,9
16.0,8,304,1970,US,10
17.0,8,302,1970-1972,US],8
15.0,8,?,1970,US,8.5
14.0,8,454,1970[1975],"US; Detroit, Michigan",8.5
,8,440,1970,US,8.5
14.0,8,455,1970,US,8.3
15.0,8,390,1970,US],7
15.0,8,383,1970,US,8.8
14.0,-,340,1970,US,8.8
,8,400,1970,"US; Detroit, Michigan",9
14.0,8,455,1970,US,9
24.0,4,113,1970,Japan; Aichi,9
22.0,6,198,1970,US,8
18.0,6,199,1970,US],8
21.0,6,200,1970,US,8
27.0,4,97,1970,Japan; Aichi,9.5
26.0,4,97,1970,Europe-Germany,9.6
,4,110,1970,Europe,9.6
24.0,4,107,1970,Europe,9.41
25.0,-,104,1970,Europe,9.4
26.0,4,121,1970,Europe,7.6
21.0,6,199,1970,US,9.4
10.0,8,360,1970,US,9.4
10.0,8,307,1970,"US; Detroit, Michigan",9.4
11.0,8,318,1970,US,7.6
9.0,8,304,1970,US,8.5
27.0,4,97,1971,Japan; Tokyo,7
,4,140,1971[1973]971,"US; Detroit, Michigan",9.6
25.0,4,113,1971,Japan; Aichi],9.2
19.0,-,232,1971,US,10.1
16.0,6,225,1971,US,9.2
17.0,6,250,1971,US,9.2
19.0,6,250,1971[1973],US,9.2
18.0,6,232,1971,US,9.2
14.0,8,350,1971,"US; Detroit, Michigan",9
14.0,8,400,1971,US,9
14.0,8,351,1971,US,9
,8,318,1971[1973],US,9
12.0,8,383,1971,US,9
13.0,-,400,1971,US,9.1
13.0,8,400,1971,US],8.5
18.0,6,258,1971[1973],US,9.6
22.0,4,140,1971,"US; Detroit, Michigan]",9.6
19.0,6,250,1971,US,9.2
18.0,6,250,1971,US,8.1
23.0,4,122,1971,US,8.1
28.0,4,116,1971[1973],Europe,11.5
,4,79,1971,Europe,9
30.0,-,88,1971,Europe,9
31.0,4,71,1971,Japan; Aichi,9
35.0,4,72,1971,Japan; Tokyo],9
27.0,4,97,1971,Europe,9
26.0,4,91,1971,US,9.4
24.0,4,113,1972[1973],Japan,9.4
25.0,4,97.5,1972,US,9.4
23.0,-,97,1972,Europe,9.4
20.0,4,140,1972,US,8.6
21.0,4,122,1972,US,8.6
13.0,8,350,1972[1973],US,8.6
14.0,8,400,1972,US,8.6
15.0,8,318,1972,US,22.7
14.0,8,351,1972,US,8.6
17.0,8,304,1972[1973],US,8
11.0,8,429,1972,US,22
13.0,8,350,1972,US,21.5
12.0,8,350,1972[1973],US,21.5
13.0,-,400,1972,US,21.5
,3,70,1972,Japan,21.5
15.0,8,304,1972,US,8.3
13.0,8,307,1972,US,8.3
13.0,8,302,1972[1973],US,8
14.0,8,318,1972,US,8
18.0,4,121,1972-73,Europe,8
22.0,4,121,1972,Europe,9.4
21.0,4,120,1972,Europe,9.4
26.0,4,96,1972,Europe,9.4
22.0,4,122,1972-73,US,7.6
28.0,4,97,1972,Japan,7.5
,4,120,1972,Japan; Aichi,8.5
28.0,-,98,1972-73,US,7
27.0,4,97,1972,Japan,7
13.0,8,350,1973,US,7
14.0,8,304,1973,US,8.5
13.0,8,350,1973,US,8.5
14.0,8,302,1973,US,7.5
15.0,8,318,1973,US,7.5
12.0,-,429,1973,US,9.4
13.0,8,400,1973,US,21.9
,8,351,1973,US,9.4
14.0,8,318,1973,US,9.4
13.0,8,440,1973,US,9.4
12.0,8,455,1973,US,9.4
13.0,8,360,1973,US,9.4
18.0,6,225,1973-1974,US,9.4
16.0,6,250,"1973, 1974",US,9.4
18.0,6,232,1973,US,9.4
18.0,6,250,1973,US,8.5
23.0,?,198,1973,US,8.5
26.0,4,97,1973,Europe,9
11.0,8,400,"1973, 19741973",US,9
12.0,8,400,1973,US,9
13.0,8,360,1973,US,9
12.0,8,350,"1973, 1974",US,7.8
18.0,6,232,1973,US,9
20.0,4,97,1973,Japan; Aichi,8.4
21.0,4,140,"1973, 1974",US,21
22.0,4,108,1973,Japan,8.4
18.0,3,70,1973,Japan,21
19.0,4,122,1973,US,?
21.0,6,155,"1973, 1974",US,21
26.0,4,98,1973,Europe,8.4
15.0,8,350,1973,US,21
16.0,8,400,"1973, 1974",US,8.4
29.0,4,68,1973,Europe,21
24.0,4,116,1973,Europe,7
20.0,4,114,1973,Europe,9.4
19.0,4,121,1973,Europe,7.6
15.0,8,318,1973,US,9.4
24.0,4,121,1973,Europe,9.4
20.0,6,156,1973,Japan,9.4
11.0,8,350,1973,US,8.5
20.0,6,198,1974,US,7
19.0,6,232,1974,US,9.5
15.0,6,250,"1974, 1975",US,9.5
31.0,4,79,1974,Japan,9.5
26.0,4,122,1974,US,9.5
32.0,4,71,1974,Japan,10
25.0,4,140,1974,US,8.7
16.0,6,250,"1974, 1975",US,8.7
16.0,6,258,1974,US,9.31
18.0,6,225,1974,US,9.3
16.0,8,302,"1974, 1975",US,9.3
13.0,8,350,1974,US,9.3
14.0,8,318,1974,US,9
14.0,8,302,"1974, 1975",US,9
14.0,8,304,1974,US,9
29.0,4,98,"1974, 19751974",Europe,8.7
26.0,4,79,1974,Europe,8.7
26.0,4,97,1974,Europe,9.5
31.0,4,76,"1974, 1975",Japan,9.5
32.0,4,83,1974,Japan,9
28.0,4,90,1974,US,9
24.0,4,90,1974,Europe,7.7
26.0,4,116,1974,Europe,9
24.0,4,120,1974,Japan,9
26.0,4,108,1974,Japan,9
31.0,4,79,1974,Europe,7.7
19.0,6,225,1975,US,9
18.0,6,250,1975,US,9
15.0,6,250,1975,US,9
15.0,6,250,1975,US,9
16.0,8,400,1975,US,9
15.0,8,350,1975,US,9
16.0,8,318,1975,US,9
14.0,8,351,1975,US,9
17.0,6,231,1975,US,22.5
