Model,Year
chevrolet chevelle malibu,1970[1975]
buick skylark 320,1970
plymouth satellite,"1970, 1976"
amc rebel sst,1970
ford torino,1970-1972
ford galaxie 500,1970
chevrolet impala,1970[1975]
plymouth fury iii,1970
pontiac catalina,1970
amc ambassador dpl,1970
dodge challenger se,1970
plymouth 'cuda 340,1970
chevrolet monte carlo,1970
buick estate wagon (sw),1970
toyota corona mark ii,1970
plymouth duster,1970
amc hornet,1970
ford maverick,1970
datsun pl510,1970
volkswagen 1131 deluxe sedan,1970
peugeot 504,1970
audi 100 ls,1970
saab 99e,1970
bmw 2002,1970
amc gremlin,1970
ford f250,1970
chevy c20,1970
dodge d200,1970
hi 1200d,1970
datsun pl510,1971
chevrolet vega 2300,1971[1973]971
toyota corona,1971
amc gremlin,1971
plymouth satellite custom,1971
chevrolet chevelle malibu,1971
ford torino 500,1971[1973]
amc matador,1971
chevrolet impala,1971
pontiac catalina brougham,1971
ford galaxie 500,1971
plymouth fury iii,1971[1973]
dodge monaco (sw),1971
ford country squire (sw),1971
pontiac safari (sw),1971
amc hornet sportabout (sw),1971[1973]
chevrolet vega (sw),1971
pontiac firebird,1971
ford mustang,1971
mercury capri 2000,1971
opel 1900,1971[1973]
peugeot 304,1971
fiat 124b,1971
toyota corolla 1200,1971
datsun 1200,1971
volkswagen model 111,1971
plymouth cricket,1971
toyota corona hardtop,1972[1973]
dodge colt hardtop,1972
volkswagen type 3,1972
chevrolet vega,1972
ford pinto runabout,1972
chevrolet impala,1972[1973]
pontiac catalina,1972
plymouth fury iii,1972
ford galaxie 500,1972
amc ambassador sst,1972[1973]
mercury marquis,1972
buick lesabre custom,1972
oldsmobile delta 88 royale,1972[1973]
chrysler newport royal,1972
mazda rx2 coupe,1972
amc matador (sw),1972
chevrolet chevelle concours (sw),1972
ford gran torino (sw),1972[1973]
plymouth satellite custom (sw),1972
volvo 145e (sw),1972-73
volkswagen 411 (sw),1972
peugeot 504 (sw),1972
renault 12 (sw),1972
ford pinto (sw),1972-73
datsun 510 (sw),1972
toyouta corona mark ii (sw),1972
dodge colt (sw),1972-73
toyota corolla 1600 (sw),1972
buick century 350,1973
amc matador,1973
chevrolet malibu,1973
ford gran torino,1973
dodge coronet custom,1973
mercury marquis brougham,1973
chevrolet caprice classic,1973
ford ltd,1973
plymouth fury gran sedan,1973
chrysler new yorker brougham,1973
buick electra 225 custom,1973
amc ambassador brougham,1973
plymouth valiant,1973-1974
chevrolet nova custom,"1973, 1974"
amc hornet,1973
ford maverick,1973
plymouth duster,1973
volkswagen super beetle,1973
chevrolet impala,"1973, 19741973"
ford country,1973
plymouth custom suburb,1973
oldsmobile vista cruiser,"1973, 1974"
amc gremlin,1973
toyota carina,1973
chevrolet vega,"1973, 1974"
datsun 610,1973
maxda rx3,1973
ford pinto,1973
mercury capri v6,"1973, 1974"
fiat 124 sport coupe,1973
chevrolet monte carlo s,1973
pontiac grand prix,"1973, 1974"
fiat 128,1973
opel manta,1973
audi 100ls,1973
volvo 144ea,1973
dodge dart custom,1973
saab 99le,1973
toyota mark ii,1973
oldsmobile omega,1973
plymouth duster,1974
amc hornet,1974
chevrolet nova,"1974, 1975"
datsun b210,1974
ford pinto,1974
toyota corolla 1200,1974
chevrolet vega,1974
chevrolet chevelle malibu classic,"1974, 1975"
amc matador,1974
plymouth satellite sebring,1974
ford gran torino,"1974, 1975"
buick century luxus (sw),1974
dodge coronet custom (sw),1974
ford gran torino (sw),"1974, 1975"
amc matador (sw),1974
audi fox,"1974, 19751974"
volkswagen dasher,1974
opel manta,1974
toyota corona,"1974, 1975"
datsun 710,1974
dodge colt,1974
fiat 128,1974
fiat 124 tc,1974
honda civic,1974
subaru,1974
fiat x1.9,1974
plymouth valiant custom,1975
chevrolet nova,1975
mercury monarch,1975
ford maverick,1975
pontiac catalina,1975
chevrolet bel air,1975
plymouth grand fury,1975
ford ltd,1975
buick century,1975
chevroelt chevelle malibu,1975
amc matador,1975
plymouth fury,1975
buick skyhawk,1975
chevrolet monza 2+2,1975
ford mustang ii,1975
toyota corolla,1975
ford pinto,1975
amc gremlin,1975
pontiac astro,1975
toyota corona,1975
volkswagen dasher,1975
datsun 710,1975
ford pinto,1975
volkswagen rabbit,1975
amc pacer,1975
audi 100ls,1975
peugeot 504,1975
volvo 244dl,1975
saab 99le,1975
honda civic cvcc,1975
fiat 131,1976
opel 1900,1976
capri ii,1976
dodge colt,1976
renault 12tl,1976
chevrolet chevelle malibu classic,1976
dodge coronet brougham,1976
amc matador,1976
ford gran torino,1976
plymouth valiant,1976
chevrolet nova,1976
ford maverick,1976
amc hornet,1976
chevrolet chevette,1976
chevrolet woody,1976
vw rabbit,1976
honda civic,1976
dodge aspen se,1976
ford granada ghia,1976
pontiac ventura sj,1976
amc pacer d/l,1976
volkswagen rabbit,1976
datsun b-210,1976
toyota corolla,1976
ford pinto,1976
volvo 245,1976
plymouth volare premier v8,1976
peugeot 504,1976
toyota mark ii,1976
mercedes-benz 280s,1976
cadillac seville,1976
chevy c10,1976
ford f108,1976
dodge d100,1976
honda accord cvcc,1977
buick opel isuzu deluxe,1977
renault 5 gtl,1977
plymouth arrow gs,1977
datsun f-10 hatchback,1977
chevrolet caprice classic,1977
oldsmobile cutlass supreme,1977
dodge monaco brougham,1977
mercury cougar brougham,1977
chevrolet concours,1977
buick skylark,1977
plymouth volare custom,1977
ford granada,1977
pontiac grand prix lj,1977
chevrolet monte carlo landau,1977
chrysler cordoba,1977
ford thunderbird,1977
volkswagen rabbit custom,1977
pontiac sunbird coupe,1977
toyota corolla liftback,1977
ford mustang ii 2+2,1977
chevrolet chevette,1977
dodge colt m/m,1977
subaru dl,1977
volkswagen dasher,1977
datsun 810,1977
bmw 320i,1977
mazda rx-4,1977
volkswagen rabbit custom diesel,1978
ford fiesta,1978
mazda glc deluxe,1978
datsun b210 gx,1978
honda civic cvcc,1978
oldsmobile cutlass salon brougham,1978
dodge diplomat,1978
mercury monarch ghia,1978
pontiac phoenix lj,1978
chevrolet malibu,1978
ford fairmont (auto),1978
ford fairmont (man),1978
plymouth volare,1978
amc concord,1978
buick century special,1978
mercury zephyr,1978
dodge aspen,1978
amc concord d/l,1978
chevrolet monte carlo landau,1978
buick regal sport coupe (turbo),1978
ford futura,1978
dodge magnum xe,1978
chevrolet chevette,1978
toyota corona,1978
datsun 510,1978
dodge omni,1978
toyota celica gt liftback,1978
plymouth sapporo,1978
oldsmobile starfire sx,1978
datsun 200-sx,1978
audi 5000,1978
volvo 264gl,1978
saab 99gle,1978
peugeot 604sl,1978
volkswagen scirocco,1978
honda accord lx,1978
pontiac lemans v6,1979
mercury zephyr 6,1979
ford fairmont 4,1979
amc concord dl 6,1979
dodge aspen 6,1979
chevrolet caprice classic,1979
ford ltd landau,1979
mercury grand marquis,1979
dodge st. regis,1979
buick estate wagon (sw),1979
ford country squire (sw),1979
chevrolet malibu classic (sw),1979
chrysler lebaron town @ country (sw),1979
vw rabbit custom,1979
maxda glc deluxe,1979
dodge colt hatchback custom,1979
amc spirit dl,1979
mercedes benz 300d,1979
cadillac eldorado,1979
peugeot 504,1979
oldsmobile cutlass salon brougham,1979
plymouth horizon,1979
plymouth horizon tc3,1979
datsun 210,1979
fiat strada custom,1979
buick skylark limited,1979
chevrolet citation,1979
oldsmobile omega brougham,1979
pontiac phoenix,1979
vw rabbit,1980
toyota corolla tercel,1980
chevrolet chevette,1980
datsun 310,1980
chevrolet citation,1980
ford fairmont,1980
amc concord,1980
dodge aspen,1980
audi 4000,1980
toyota corona liftback,1980
mazda 626,1980
datsun 510 hatchback,1980
toyota corolla,1980
mazda glc,1980
dodge colt,1980
datsun 210,1980
vw rabbit c (diesel),1980
vw dasher (diesel),1980
audi 5000s (diesel),1980
mercedes-benz 240d,1980
honda civic 1500 gl,1980
subaru dl,1980
vokswagen rabbit,1980
datsun 280-zx,1980
mazda rx-7 gs,1980
triumph tr7 coupe,1980
honda accord,1980
plymouth reliant,1980
buick skylark,1980
dodge aries wagon (sw),1981
chevrolet citation,1981
plymouth reliant,1981
toyota starlet,1981
plymouth champ,1981
honda civic 1300,1981
subaru,1981
datsun 210 mpg,1981
toyota tercel,1981
mazda glc 4,1981
plymouth horizon 4,1981
ford escort 4w,1981
ford escort 2h,1981
volkswagen jetta,1981
renault 18i,1981
honda prelude,1981
toyota corolla,1981
datsun 200sx,1981
mazda 626,1981
peugeot 505s turbo diesel,1981
volvo diesel,1981
toyota cressida,1981
datsun 810 maxima,1981
buick century,1981
oldsmobile cutlass ls,1981
ford granada gl,1981
chrysler lebaron salon,1981
chevrolet cavalier,1982
chevrolet cavalier wagon,1982
chevrolet cavalier 2-door,1982-1985
pontiac j2000 se hatchback,1982
dodge aries se,1982
pontiac phoenix,1982
ford fairmont futura,1982
amc concord dl,1982
volkswagen rabbit l,1982
mazda glc custom l,1982
mazda glc custom,1982
plymouth horizon miser,1982-1985
mercury lynx l,1982
nissan stanza xe,1982
honda accord,1982
toyota corolla,1982
honda civic,1982
honda civic (auto),1982-1985
datsun 310 gx,1982
buick century limited,1982
oldsmobile cutlass ciera (diesel),1982-1985
chrysler lebaron medallion,1982
ford granada l,1982
toyota celica gt,1982
dodge charger 2.2,1982-1985
chevrolet camaro,1982
ford mustang gl,1982-1985
vw pickup,1982
